Date,Team1,Score1,Wkt1,Team2,Score2,Wkt2,Toss Winner,Toss Decision,Winner
2011-06-25,England,129,9,Sri Lanka,129,1,Sri Lanka,field,Sri Lanka
2011-08-06,Sri Lanka,185,3,Australia,185,8,Australia,field,Sri Lanka
2011-08-08,Sri Lanka,147,9,Australia,147,9,Sri Lanka,bat,Sri Lanka
2011-08-31,England,155,10,India,155,4,India,bat,England
2011-09-16,Zimbabwe,178,4,Pakistan,178,10,Zimbabwe,field,Pakistan
2011-09-18,Zimbabwe,134,7,Pakistan,134,7,Pakistan,bat,Pakistan
2011-09-23,England,122,10,West Indies,122,0,England,field,England
2011-09-25,England,110,5,West Indies,110,10,England,field,West Indies
2011-10-11,Bangladesh,122,8,West Indies,122,7,Bangladesh,field,Bangladesh
2011-10-13,South Africa,135,7,Australia,135,5,South Africa,bat,Australia
2011-10-15,Zimbabwe,119,8,New Zealand,119,0,New Zealand,field,New Zealand
2011-10-16,South Africa,140,8,Australia,140,7,Australia,bat,South Africa
2011-10-17,Zimbabwe,169,3,New Zealand,169,10,Zimbabwe,field,New Zealand
2011-10-29,India,118,9,England,118,4,India,bat,England
2011-11-25,Pakistan,125,10,Sri Lanka,125,5,Sri Lanka,bat,Pakistan
2011-11-29,Bangladesh,121,7,Pakistan,121,9,Pakistan,bat,Pakistan
2012-02-01,Australia,168,4,India,168,6,India,field,Australia
2012-02-03,Australia,127,10,India,127,2,Australia,bat,India
2012-02-11,New Zealand,156,8,Zimbabwe,156,3,Zimbabwe,bat,New Zealand
2012-02-14,New Zealand,198,2,Zimbabwe,198,5,Zimbabwe,bat,New Zealand
2012-02-17,New Zealand,140,6,South Africa,140,4,New Zealand,field,New Zealand
2012-02-19,New Zealand,164,4,South Africa,164,2,South Africa,field,South Africa
2012-02-22,New Zealand,162,7,South Africa,162,7,New Zealand,field,South Africa
2012-02-22,Kenya,105,10,Ireland,105,4,Ireland,field,Ireland
2012-02-23,England,132,6,Pakistan,132,6,England,field,Pakistan
2012-02-23,Kenya,117,7,Ireland,117,2,Kenya,bat,Ireland
2012-02-24,Kenya,97,9,Ireland,97,7,Ireland,bat,Ireland
2012-02-25,England,142,7,Pakistan,142,10,England,bat,England
2012-02-27,England,121,6,Pakistan,121,6,England,bat,England
2012-03-13,Canada,127,6,Netherlands,127,10,Netherlands,bat,Netherlands
2012-03-14,Ireland,53,10,Kenya,53,0,Kenya,bat,Ireland
2012-03-14,Afghanistan,138,6,Netherlands,138,6,Netherlands,bat,Afghanistan
2012-03-18,Afghanistan,165,8,Canada,165,9,Afghanistan,bat,Afghanistan
2012-03-18,Ireland,148,5,Scotland,148,7,Ireland,bat,Ireland
2012-03-22,Canada,98,8,Ireland,98,0,Canada,bat,Ireland
2012-03-23,Canada,112,8,Scotland,112,6,Canada,bat,Scotland
2012-03-23,Ireland,107,7,Netherlands,107,3,Ireland,field,Ireland
2012-03-24,Afghanistan,148,7,Ireland,148,5,Afghanistan,bat,Ireland
2012-03-27,West Indies,147,7,Australia,147,2,West Indies,bat,Australia
2012-03-30,South Africa,216,4,India,216,0,India,field,South Africa
2012-03-30,West Indies,149,10,Australia,149,9,West Indies,bat,West Indies
2012-06-01,Sri Lanka,124,7,Pakistan,124,10,Sri Lanka,bat,Sri Lanka
2012-06-03,Sri Lanka,117,6,Pakistan,117,10,Pakistan,bat,Pakistan
2012-06-24,England,159,4,West Indies,159,3,West Indies,bat,England
